City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,sungailiat,-1.85,106.1333,30.088,83,99,3.4,ID,1720327226
313,arvika,59.6553,12.5852,28.549,96,88,3.99,SE,1720327227
314,filadelfia,39.9523,-75.1638,30.212,84,40,1.54,US,1720327228
315,hualien city,23.9769,121.6044,30.617,62,0,4.02,TW,1720327230
316,faaborg,55.0951,10.2423,28.615,78,19,8.73,DK,1720327232
317,santa maria,-29.6842,-53.8069,27.738,87,98,2.97,BR,1720327233
318,berezovyy,51.6667,135.7,28.726999999999997,89,100,2.64,RU,1720327235
319,lazaro cardenas,17.9583,-102.2,29.927,81,24,1.39,MX,1720327236
320,mala vyska,48.6431,31.6366,29.437,53,37,3.65,UA,1720327237
321,bikenibeu village,1.3673,173.1241,30.012999999999998,89,100,3.6,KI,1720327239
322,isiolo,0.3546,37.5822,29.473000000000003,69,79,0.67,KE,1720327240
323,yaren,-0.5472,166.916,30.116000000000003,76,100,3.62,NR,1720327241
324,rockland,41.1668,-74.0496,29.962,91,44,1.35,US,1720327242
325,ust-tsilma,65.441,52.1498,29.089,92,98,3.87,RU,1720327243
326,hadibu,12.65,54.0333,30.03,76,89,10.11,YE,1720327245
327,guixi,28.2886,117.2133,30.99,48,18,4.24,CN,1720327246
328,prainha,-1.8,-53.48,29.631,78,11,0.98,BR,1720327247
329,tidjikja,18.5564,-11.4271,30.389999999999997,42,30,4.11,MR,1720327248
330,tura,25.5198,90.2201,30.327999999999996,72,98,2.15,IN,1720327249
331,arraial do cabo,-22.9661,-42.0278,29.375999999999998,88,0,3.63,BR,1720327251
332,jumla,29.2747,82.1838,28.808999999999997,97,100,0.39,NP,1720327252
333,vilhena,-12.7406,-60.1458,29.439999999999998,50,14,1.51,BR,1720327253
334,laguna,38.421,-121.4238,30.852999999999998,36,0,3.6,US,1720327254
335,utrik,11.2278,169.8474,30.130000000000003,80,100,7.3,MH,1720327256
336,colonia,50.9333,6.95,28.529000000000003,79,12,2.8,DE,1720327257
337,serhetabat,35.2799,62.3438,30.441000000000003,17,0,6.95,TM,1720327258
338,hamilton,39.1834,-84.5333,29.475,86,0,0.89,US,1720327259
339,nar'yan-mar,67.6713,53.087,28.877999999999997,83,100,5.58,RU,1720327260
340,el fasher,13.6279,25.3494,29.924,59,25,5.33,SD,1720327262
341,serang,-6.1149,106.1502,29.954,82,98,1.58,ID,1720327263
342,opuwo,-18.0607,13.84,28.525,49,4,0.72,NA,1720327264
343,lop buri,14.7981,100.654,30.82,50,50,3.09,TH,1720327265
344,mejit,10.2753,170.8646,30.127,80,75,7.52,MH,1720327266
345,el calafate,-50.3408,-72.2768,27.038,79,43,1.33,AR,1720327267
346,borogontsy,62.6683,131.1683,29.514999999999997,42,54,1.68,RU,1720327269
347,nelson bay,-32.7167,152.15,29.037,80,100,0.45,AU,1720327270
